complaint_id,expected_category,genai_category,python_expected_category,genai_department,python_department,genai_urgency,python_urgency,genai_escalation,python_escalation,policy_reference,match_or_mismatch,category_match,department_match,urgency_match,escalation_match,policy_match,verification_status,explanation_of_disagreement
CMP-ID-1373,Customer Service Experience,Billing & Payments,Customer Service Experience,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Repeated Unresolved Issue'}, Expected={'category': 'Customer Service Experience', 'subcategory': 'Repeated Unresolved Issue'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Repeated Unresolved Issue order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1423,Regulatory & Legal Compliance,Billing & Payments,Regulatory & Legal Compliance,Compliance & Legal Affairs,Compliance & Legal Affairs,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy Law Violation'}, Expected={'category': 'Regulatory & Legal Compliance', 'subcategory': 'Data Privacy Law Violation'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy Law Violation order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1123,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Return Request Denied'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Return Request Denied'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Return Request Denied order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1425,Regulatory & Legal Compliance,Billing & Payments,Regulatory & Legal Compliance,Compliance & Legal Affairs,Compliance & Legal Affairs,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy Law Violation'}, Expected={'category': 'Regulatory & Legal Compliance', 'subcategory': 'Data Privacy Law Violation'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy Law Violation order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1151,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,High,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Return Shipping Fee Dispute'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Return Shipping Fee Dispute'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='High'; Resolution steps failure: Missing required actions: ['Verify Return Shipping Fee Dispute order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1309,Account Security & Fraud,Billing & Payments,Account Security & Fraud,Compliance & Legal Affairs,Trust & Safety (Fraud & Security),Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy / Security Incident Concern'}, Expected={'category': 'Account Security & Fraud', 'subcategory': 'Data Privacy / Security Incident Concern'}; Department mismatch: GenAI='Compliance & Legal Affairs', Expected='Trust & Safety (Fraud & Security)'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy / Security Incident Concern order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1034,Order & Delivery,Billing & Payments,Order & Delivery,Billing & Payment Operations,Order Fulfillment & Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Wrong Item Delivered'}, Expected={'category': 'Order & Delivery', 'subcategory': 'Wrong Item Delivered'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Order Fulfillment & Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Wrong Item Delivered order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1126,Returns & Refunds,Billing & Payments,Returns & Refunds,Billing & Payment Operations,Returns & Reverse Logistics,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Return Request Denied'}, Expected={'category': 'Returns & Refunds', 'subcategory': 'Return Request Denied'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Returns & Reverse Logistics'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Return Request Denied order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1246,Account Management,Billing & Payments,Account Management,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Profile / Address Update Failure'}, Expected={'category': 'Account Management', 'subcategory': 'Profile / Address Update Failure'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Profile / Address Update Failure order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1235,Account Management,Billing & Payments,Account Management,Billing & Payment Operations,Account Management & Customer Care,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Account Suspended or Restricted'}, Expected={'category': 'Account Management', 'subcategory': 'Account Suspended or Restricted'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Account Management & Customer Care'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Account Suspended or Restricted order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1514,Account Security & Fraud,Billing & Payments,Account Security & Fraud,Billing & Payment Operations,Trust & Safety (Fraud & Security),Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,False,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Data Privacy / Security Incident Concern'}, Expected={'category': 'Account Security & Fraud', 'subcategory': 'Data Privacy / Security Incident Concern'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Trust & Safety (Fraud & Security)'; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Data Privacy / Security Incident Concern order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1483,Order & Delivery,Billing & Payments,Billing & Payments,Billing & Payment Operations,Billing & Payment Operations,Medium,Medium,False,False,KB-DOC-1001,MATCH,True,True,True,True,True,Verified,
CMP-ID-1452,Regulatory & Legal Compliance,Billing & Payments,Regulatory & Legal Compliance,Billing & Payment Operations,Compliance & Legal Affairs,Critical,Critical,True,True,KB-DOC-1001,MISMATCH,False,False,True,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Formal Legal Notice / Attorney Involvement'}, Expected={'category': 'Regulatory & Legal Compliance', 'subcategory': 'Formal Legal Notice / Attorney Involvement'}; Department mismatch: GenAI='Billing & Payment Operations', Expected='Compliance & Legal Affairs'; Resolution steps failure: Missing required actions: ['Verify Formal Legal Notice / Attorney Involvement order record', 'Issue standard goodwill credit or replacement within $50 limit']"
CMP-ID-1409,Promotions & Pricing,Billing & Payments,Promotions & Pricing,Billing & Payment Operations,Billing & Payment Operations,Medium,Low,False,False,KB-DOC-1001,MISMATCH,False,True,False,True,True,Manual Review Required,"Category mismatch: GenAI={'category': 'Billing & Payments', 'subcategory': 'Misleading Deal / Flash Sale Dispute'}, Expected={'category': 'Promotions & Pricing', 'subcategory': 'Misleading Deal / Flash Sale Dispute'}; Urgency mismatch: GenAI='Medium', Objective Expected='Low'; Resolution steps failure: Missing required actions: ['Verify Misleading Deal / Flash Sale Dispute order record', 'Issue standard goodwill credit or replacement within $50 limit']"
